t_s,V_volts,i_medido_A,w_medido_rad_s,i_verdadeiro_A,w_verdadeiro_rad_s
0.076200,12.000000,6.240234,107.378655,6.204084,104.452009
0.076400,12.000000,6.145020,107.378655,6.195790,104.668515
0.076600,12.000000,6.152344,92.038847,6.187509,104.884709
0.076800,12.000000,6.130371,107.378655,6.179239,105.100591
0.077000,12.000000,6.145020,107.378655,6.170981,105.316161
0.077200,12.000000,6.174316,107.378655,6.162736,105.531421
0.077400,12.000000,6.166992,107.378655,6.154502,105.746370
0.077600,12.000000,6.152344,107.378655,6.146280,105.961010
0.077800,12.000000,6.093750,107.378655,6.138070,106.175340
0.078000,12.000000,6.057129,107.378655,6.129871,106.389361
0.078200,12.000000,6.123047,107.378655,6.121685,106.603073
0.078400,12.000000,6.101074,107.378655,6.113510,106.816477
0.078600,12.000000,6.115723,92.038847,6.105347,107.029573
0.078800,12.000000,6.115723,107.378655,6.097196,107.242362
0.079000,12.000000,6.093750,107.378655,6.089057,107.454844
0.079200,12.000000,6.101074,107.378655,6.080929,107.667020
0.079400,12.000000,6.079102,122.718463,6.072813,107.878890
0.079600,12.000000,6.079102,107.378655,6.064709,108.090454
0.079800,12.000000,6.035156,107.378655,6.056617,108.301714
0.080000,12.000000,6.042480,107.378655,6.048536,108.512668
0.080200,12.000000,6.049805,107.378655,6.040467,108.723319
0.080400,12.000000,6.057129,107.378655,6.032409,108.933666
0.080600,12.000000,6.013184,107.378655,6.024363,109.143709
0.080800,12.000000,6.035156,107.378655,6.016329,109.353449
0.081000,12.000000,5.998535,107.378655,6.008306,109.562887
0.081200,12.000000,5.998535,107.378655,6.000295,109.772024
0.081400,12.000000,6.020508,122.718463,5.992295,109.980858
0.081600,12.000000,5.925293,107.378655,5.984307,110.189391
0.081800,12.000000,5.939941,107.378655,5.976330,110.397624
0.082000,12.000000,5.925293,107.378655,5.968365,110.605556
0.082200,12.000000,5.888672,107.378655,5.960412,110.813189
0.082400,12.000000,5.932617,122.718463,5.952470,111.020522
